super,improve
Communication,Telephone assessments are not satisfactory but presumably save money The stock letter addressed to my GP appears to be addressing me half the time It is extremely poorly constructed and rather insulting to receive Either you are sending me a copy of the letter sent to my GP or you are writing directly to me You cannot do both in one letter I can only hope the therapist I see will be a bit better communicator
Communication,More communication when child starts schoolnursery As parents would like to be updated on exercisesprogress
Care/ Treatment,Whilst we are always successfully on time the service is usually running late often up to 30minutes I assume this is institutional as it is a hospital
Couldn't be improved,Nothing at all
Service Quality/Outcomes,More money needs to go into mental health services generally  I struggle because its underfunded for the amount of people who need help with mental health problems and severe illness
Care/ Treatment,The medication only supresses symptoms and does not treat the cause of the illness  Physical conditions are considered not to effect mental health but they do effect mental health
Care/ Treatment,Unable to meet my CPN as out of area
Environment/Facilities,Could have more seating
Access to Services,Its not long enough
Service Quality/Outcomes,If you cared about patients
Communication,Reception staff not consulting when called to postpone appointment due to other issuesat Keyworth
Access to Services,Shorter waiting times and various choices given at the initial meeting  Once the case was picked up by another case worker Natalie they were very helpful and not at all negative the sessions  At the initial meeting I was given a list of books to read due to my depression and other circumstances this was the last thing I needed as concentration was very low at that time
Couldn't be improved,Nothing fantastic care
Care/ Treatment,Organise activities for the Inpatients The unit needs more staff on
Couldn't be improved,All absolutely good
Couldn't be improved,No
Couldn't be improved,Nothing I received excellent care nothing whatsoever to complain Service was first class
Staff/Staff Attitude,Get to know the drug user more not just talk  3 times a year because that dont  Ive been in this prison for well over a year but not seen any drug worker much 3 maybe 4 times
Couldn't be improved,Nothing a really excellent service with lovely staff
Couldn't be improved,An excellent service received
Privacy and Dignity,The curtain area when you are having your appointment Stil dont think it is private enough
Couldn't be improved,I cannot think of anything that you can improve on
Couldn't be improved,Nothing
Communication,More mention about what I should do
Couldn't be improved,The service was very good
Environment/Facilities,Get your DVD player fixed and your foot spa packs
Access to Services,To see me quicker
Privacy and Dignity,More privacy in treatment room  3 couches where you can hear what is happening with other patients and vice versa  Lack of confidentiality
Food,Possibly hotter drinks  but marginal
Access to Services,Family work should be offered sooner
Couldn't be improved,Nothing
Couldn't be improved,Nothing
Staff/Staff Attitude,Find day unit excellent Have had issues with education unit staff as found them rude
Couldn't be improved,no
Care/ Treatment,Start the themed session earlier most of the session is just sitting and playing
Couldn't be improved,Nothing
Access to Services,Keep a check of freuqency of appointments
Couldn't be improved,Nothing
Access to Services,It took a very long time
Access to Services,Just that the GP didnt pick up where your great team left off  I know that at present I am in a stable state but thought maybe just one appointment to see what GP may have thought was good for me to do
Access to Services,Make appointments when i have requested as I have been waiting 4 and a half weeks to see doctor
Communication,we could maybe be able to pick our groups this may let us open up a bit more
Couldn't be improved,Nothing its all very good
Couldn't be improved,Nothing
Care/ Treatment,Group Talks
Couldn't be improved,Nothing a brilliant service that i used for both my children
Access to Services,Find a venue closer to my home or easy to reach by bus I  have been dependent on two friends to transport me
Couldn't be improved,Nothing
Couldn't be improved,nothing
Communication,Only have a few visits a phone call a few days later to see how things were would have been good
Couldn't be improved,Nothing Satisfied with all
Care/ Treatment,like you to come as early as possible Would like more choice in dressings
